370351.5	  694058.4	0	449	276
370350.4	  694070.5	0	476	290
370350.4	  694082.7	0	537	324
370342.7	  694096.0	0	690	547
370333.9	  694092.7	0	593	848
370334.9	  694068.3	0	415	593
370338.2	  694060.6	0	412	524
370334.9	  694055.1	0	393	486
370250.8	  694039.8	0	309	1094
370196.5	  694026.6	0	221	1463
370151.2	  694019.0	0	200	1553
370171.1	  694040.0	0	205	1595
370227.6	  694064.2	0	253	1575
370295.2	  694095.0	0	425	1478
370322.8	  694099.3	0	561	1152
370337.2	  694100.4	0	706	767
370360.4	  694086.0	0	580	48
370362.6	  694069.4	0	473	59
370363.7	  694062.7	0	462	73
